Time,El_grid,PV_feed,PV_self,E_hp,H_hp,E_boiler,H_boiler
188,8.7115024,0.0,0.0,4.7515024,14.254507,0.0,0.0
189,8.6819289,0.0,0.0,4.4719289,13.415787,0.0,0.0
190,8.7792749,0.0,0.0,4.6692749,14.007825,0.0,0.0
191,7.4150569,0.0,0.0,4.7350569,14.205171,0.0,0.0
192,6.5217395,0.0,0.0,4.9817395,14.945219,0.0,0.0
193,5.5159574,0.0,0.0,4.9159574,14.747872,0.0,0.0
194,5.0312654,0.0,0.0,4.5212654,13.563796,0.0,0.0
195,4.9439194,0.0,0.0,4.3239194,12.971758,0.0,0.0
196,4.9616918,0.0,0.0,4.2416918,12.725076,0.0,0.0
197,4.8072368,0.0,0.0,4.0772368,12.231711,0.0,0.0
198,4.9036823,0.0,0.0,4.0936823,12.281047,0.0,0.0
199,5.9681373,0.0,0.0,4.2581373,12.774412,0.0,0.0
200,7.8963363,0.0,0.0,3.8963363,11.689009,0.0,0.0
201,7.5203173,0.0,0.0,3.6003173,10.800952,0.0,0.0
202,8.9658404,0.0,0.20713081,3.4029713,10.208914,0.0,0.0
203,8.634732,0.0,0.47222024,3.1069523,9.3208568,0.0,0.0
204,8.3781177,0.0,0.443716,2.9918338,8.9755013,0.0,0.0
205,6.8979728,0.0,2.2071783,2.7451512,8.2354535,0.0,0.0
206,5.6179295,0.0,1.6114397,2.6793692,8.0381075,0.0,0.0
207,6.5617501,0.0,1.183401,2.7451512,8.2354535,0.0,0.0
208,6.9729191,0.0,0.81379605,2.8767152,8.6301455,0.0,0.0
209,6.4765024,0.0,0.22755885,3.0740613,9.2221838,0.0,0.0
210,7.3749618,0.0,0.0,3.2549618,9.7648853,0.0,0.0
211,6.9978528,0.0,0.0,3.2878528,9.8635583,0.0,0.0
212,7.2714073,0.0,0.0,3.2714073,9.8142218,0.0,0.0
213,7.4714073,0.0,0.0,3.2714073,9.8142218,0.0,0.0
214,7.6171893,0.0,0.0,3.3371893,10.011568,0.0,0.0
215,6.2445353,0.0,0.0,3.5345353,10.603606,0.0,0.0
216,5.8783268,0.0,0.0,3.7483268,11.244981,0.0,0.0
217,4.6805543,0.0,0.0,3.8305543,11.491663,0.0,0.0
218,4.5205543,0.0,0.0,3.8305543,11.491663,0.0,0.0
219,4.3003173,0.0,0.0,3.6003173,10.800952,0.0,0.0
220,4.4551988,0.0,0.0,3.4851988,10.455596,0.0,0.0
221,4.9260993,0.0,0.0,3.6660993,10.998298,0.0,0.0
222,5.8094643,0.0,0.0,4.1594643,12.478393,0.0,0.0
223,5.9679003,0.0,0.0,4.0279003,12.083701,0.0,0.0
224,8.4621183,0.0,0.0,3.9621183,11.886355,0.0,0.0
225,7.8931819,0.0,0.090263427,3.8634453,11.590336,0.0,0.0
226,7.2694328,0.0,1.6171406,4.1265733,12.37972,0.0,0.0
227,4.1383774,0.0,3.2461579,3.5345353,10.603606,0.0,0.0
228,2.8288072,0.0,4.7891874,2.0379946,6.1139838,0.0,0.0
229,2.079164,0.0,6.1450391,1.8242031,5.4726093,0.0,0.0
230,0.0,0.11891381,6.0546295,1.5446295,4.6338885,0.0,0.0
231,1.7834604,0.0,4.8647236,1.528184,4.584552,0.0,0.0
232,3.5062111,0.0,2.7055274,1.5117385,4.5352155,0.0,0.0
233,5.8701012,0.0,0.44656643,2.1366676,6.4100028,0.0,0.0
234,9.4971417,0.0,0.0,2.5971417,7.791425,0.0,0.0
235,8.8249142,0.0,0.0,2.5149142,7.5447425,0.0,0.0
236,8.4462412,0.0,0.0,2.4162412,7.2487235,0.0,0.0
237,6.1249142,0.0,0.0,2.5149142,7.5447425,0.0,0.0
238,5.4258147,0.0,0.0,2.6958147,8.087444,0.0,0.0
239,6.0253883,0.0,0.0,2.9753883,8.9261648,0.0,0.0
240,5.4307913,0.0,0.0,4.0607913,12.182374,0.0,0.0
241,5.8637299,0.0,0.0,4.8337299,14.50119,0.0,0.0
242,5.6724029,0.0,0.0,4.9324029,14.797209,0.0,0.0
243,5.8406495,0.0,0.0,5.3106495,15.931949,0.0,0.0
244,5.909749,0.0,0.0,5.129749,15.389247,0.0,0.0
245,5.6775215,0.0,0.0,5.0475215,15.142565,0.0,0.0
246,6.5137775,0.0,0.0,5.5737775,16.721333,0.0,0.0
247,7.6153416,0.0,0.0,5.7053416,17.116025,0.0,0.0
248,9.6180431,0.0,0.0,6.2480431,18.744129,0.0,0.0
249,10.836711,0.0,0.20000475,6.3467162,19.040149,0.0,0.0
250,11.237154,0.0,1.3615525,6.1987066,18.59612,0.0,0.0
251,7.9968778,0.0,2.9026818,5.6395596,16.918679,0.0,0.0
252,4.9547802,0.0,5.5611772,4.9159574,14.747872,0.0,0.0
253,6.9649404,0.0,4.127889,4.6528294,13.958488,0.0,0.0
254,7.7913756,0.0,2.4489893,4.3403649,13.021095,0.0,0.0
255,7.1575266,0.0,2.1363928,4.3239194,12.971758,0.0,0.0
256,6.8719379,0.0,1.619991,4.4719289,13.415787,0.0,0.0
257,7.7250091,0.0,0.45559277,4.5706019,13.711806,0.0,0.0
258,10.708611,0.0,0.0,4.7186114,14.155834,0.0,0.0
259,10.289938,0.0,0.0,4.6199384,13.859815,0.0,0.0
260,8.3583744,0.0,0.0,4.4883744,13.465123,0.0,0.0
261,8.4610284,0.0,0.0,4.2910284,12.873085,0.0,0.0
262,8.7741564,0.0,0.0,4.5541564,13.662469,0.0,0.0
263,7.918185,0.0,0.0,4.998185,14.994555,0.0,0.0
264,7.012877,0.0,0.0,5.392877,16.178631,0.0,0.0
265,6.4208865,0.0,0.0,5.5408865,16.62266,0.0,0.0
266,6.5655786,0.0,0.0,5.9355786,17.806736,0.0,0.0
267,6.7142516,0.0,0.0,6.0342516,18.102755,0.0,0.0
